apps,OS,year,regressions,code,bugs
App72,Windows,2011,76.904,841934,69348
App72,Windows,2009,60.47,358266,65458
App72,Windows,2010,77.588,575003,60895
App72,Windows,2012,76.156,1140357,59265
App96,iOS,2018,73.47,4627926,49357
App72,Windows,2018,64.624,2505559,47307
App114,Windows,2018,65.798,4553009,47143
App96,iOS,2017,74.08,4535591,44684
App135,Android,2018,78.242,301139947,42952
App96,iOS,2016,74.34,4405672,41283
App63,iOS,2018,70.29,4109086,40676
App72,Windows,2016,69.343,1765345,40301
App56,Windows,2018,67.65,6980412,39725
App135,Android,2017,77.31,287675526,39097
App124,iOS,2018,81.701,7554661,37506
App91,iOS,2018,73.23,16570613,36798
App21,Android,2018,71.3,33390141,36319
App58,iOS,2018,73.68,301931,36181
App7,iOS,2018,69.54,8201683,36126
App114,Windows,2017,67.946,4201276,36023
App135,Android,2016,76.81,272911760,35767
App35,iOS,2018,72.35,5468120,35278
App72,Windows,2017,67.712,2111561,35110
App72,Windows,2015,71.309,1418095,34933
App124,iOS,2017,80.62,7361757,34481
App6,Mac,2018,70.93,20434176,34435
App110,Windows,2012,68.768,8128505,34168
App63,iOS,2017,71.08,3879155,34077
App96,iOS,2015,75.37,4286357,33966
App123,iOS,2018,80.884,9031088,33860
App91,iOS,2017,73.75,16122830,33725
App10,iOS,2018,70.25,10392226,33693
App110,Windows,2013,66.295,11254672,33693
App114,Windows,2016,69.521,3802309,33519
App21,Android,2017,72.13,31902268,33329
App44,iOS,2018,68.75,5238460,33207
App134,iOS,2018,79.425,60776238,33203
App7,iOS,2017,70.14,8148312,32418
App48,iOS,2018,70.3,82400996,32170
App35,iOS,2017,72.96,5374693,32167
App124,iOS,2016,79.37,7193761,32135
App135,Android,2015,76.09,256894189,32004
App124,iOS,2015,78.03,6995447,31872
App67,Windows,2018,68.73,127467972,31656
App96,iOS,2014,75.89,4186147,31541
App72,Windows,2013,75.19,1497494,31354
App58,iOS,2017,73.73,288030,31163
App6,Mac,2017,71.1,19546792,30688
App10,iOS,2017,70.94,10311970,30486
App45,iOS,2018,70.51,61083916,30470
App124,iOS,2014,77.41,6649942,30282
App91,iOS,2016,73.82,15604464,30246
App56,Windows,2017,70,6762476,30209
App48,iOS,2017,70.8,82350671,30036
App135,Android,2014,75.02,242803533,29884
App35,iOS,2016,73.47,5283663,29804
App8,Windows,2018,56.923,708573,29796
App134,iOS,2017,78.471,59912431,29479
App123,iOS,2017,80.04,8954175,29342
App7,iOS,2016,70.63,8069876,29096
App21,Android,2016,72.88,30305843,28955
App45,iOS,2017,71.55,59925035,28926
App119,iOS,2018,69.69,40448191,28821
App67,Windows,2016,73.42,125956499,28817
App126,Windows,2018,78.4,23174294,28718
App67,Windows,2017,71.43,127065841,28605
App65,iOS,2018,69.24,58147733,28570
App124,iOS,2013,76.21,6468126,28398
App56,Windows,2016,72,6495918,28378
App44,iOS,2017,69.83,5193039,28205
App72,Windows,2014,74.174,1891487,28118
App58,iOS,2016,74.46,271192,28061
App65,iOS,2017,71.06,57926999,27968
App48,iOS,2016,71,82011073,27789
App10,iOS,2016,71.44,10201687,27561
App50,iOS,2018,69.51,10706290,27538
App124,iOS,2011,73.78,6401400,27195
App7,iOS,2015,72.17,7914969,27042
App6,Mac,2016,71.93,18565243,26998
App124,iOS,2012,75.39,6316424,26982
App58,iOS,2014,76.99,244676,26923
App67,Windows,2015,75.38,124329269,26825
App91,iOS,2015,75.24,15174244,26791
App21,Android,2014,75.76,26549700,26627
App48,iOS,2015,72.5,80597764,26505
App35,iOS,2015,74.63,5171393,26407
App21,Android,2015,74.21,28523502,26343
App96,iOS,2013,75.97,4114787,26299
App134,iOS,2016,77.218,58808266,26075
App45,iOS,2016,72.38,58623428,25890
App116,iOS,2018,69.15,2009245,25768
App10,iOS,2015,72.8,10045622,25576
App64,Windows,2018,69.39,6426679,25523
App123,iOS,2016,79.39,8897619,25267
App92,Mac,2018,71.24,4115771,25185
App58,iOS,2015,76.11,259012,25144
App35,iOS,2014,74.69,5127024,25116
App135,Android,2013,74.65,232187835,25010
App110,Windows,2015,58.69,16945857,24842
App110,Windows,2011,70.533,6472756,24837
App119,iOS,2017,71.44,40152517,24835
App114,Windows,2015,70.795,3235865,24770
App56,Windows,2015,73.6,5829696,24758
App45,iOS,2015,73.83,57374179,24704
App65,iOS,2016,72.19,57479469,24675
App48,iOS,2014,73.8,77718298,24639
App63,iOS,2016,71.28,3667233,24522
App135,Android,2012,73.38,220239000,24073
App123,iOS,2015,78.16,8718867,23880
App44,iOS,2016,70.87,5134406,23724
App7,iOS,2014,73.18,7578903,23688
App91,iOS,2014,76.05,14665278,23651
App123,iOS,2014,77.19,8421403,23587
App6,Mac,2015,73.49,17482012,23425
App8,Windows,2017,59.923,656397,23404
App71,Windows,2018,55.292,49044790,23348
App96,iOS,2012,77.32,4043205,23311
App58,iOS,2013,77.23,233997,23270
App126,Windows,2017,76.99,22454239,23235
App92,Mac,2017,71.52,3908037,23190
App124,iOS,2010,72.77,6063000,22966
App21,Android,2013,76.86,25201900,22899
App34,iOS,2018,69.9,10228744,22833
App134,iOS,2015,76.42,57866349,22705
App10,iOS,2014,73.93,9870200,22526
App50,iOS,2017,71,10603863,22514
App67,Windows,2014,77.11,122091325,22376
App97,Mac,2018,43.165,3204897,22316
App21,Android,2012,77.95,23796400,22091
App45,iOS,2014,74.89,55630100,22066
App48,iOS,2013,74.847,78335266,22032
App65,iOS,2015,73.48,56840847,22014
App76,Linux,2012,68.755,2721783,21951
App64,Windows,2017,70.75,6029529,21906
App6,Mac,2014,74.74,16257249,21889
App135,Android,2011,71.34,209896000,21806
App46,Linux,2012,56.761,706367,21746
App35,iOS,2013,74.8,5117810,21688
App134,iOS,2014,75.007,56981620,21665
App110,Windows,2018,45.914,27601038,21655
App7,iOS,2013,74.94,7574613,21597
App91,iOS,2013,76.83,14310401,21399
App91,iOS,2012,77.42,13852989,21209
App110,Windows,2014,63.012,14619745,21198
App44,iOS,2014,74.55,4931729,21141
App92,Mac,2016,71.89,3676187,21050
App76,Linux,2011,71.555,2183877,21011
App10,iOS,2013,75.35,9856303,20980
App64,Windows,2016,71.63,5531387,20897
App123,iOS,2013,76.42,8325260,20667
App116,iOS,2017,69.18,2011497,20660
App44,iOS,2015,72.52,5041039,20647
App110,Windows,2016,53.886,21229759,20587
App48,iOS,2012,76.07,78160773,20513
App104,iOS,2018,64.39,10642836,20510
App119,iOS,2016,73.06,39855442,20445
App124,iOS,2009,71.32,5666000,20431
App35,iOS,2012,75.33,5088419,20423
App45,iOS,2013,76.34,54433565,20294
App8,Windows,2016,63.3,598561,20292
App126,Windows,2016,75.25,21628605,20207
App104,iOS,2017,66.6,10433867,20161
App97,Mac,2017,46.988,2713462,20125
App56,Windows,2014,75.45,5584510,20038
App7,iOS,2012,76.04,7568430,19749
App97,Mac,2016,52.143,2283635,19702
App58,iOS,2012,78.77,221823,19655
App135,Android,2010,70.76,201412000,19530
App6,Mac,2013,76.32,15184200,19477
App67,Windows,2013,78.67,118454974,19384
App8,Windows,2012,72.601,297410,19340
App105,Android,2018,69.62,3942491,19329
App71,Windows,2017,57.716,47969150,19234
App8,Windows,2013,70.75,377967,19211
App65,iOS,2014,74.98,56729703,19207
App10,iOS,2012,76.46,9821800,19118
App8,Windows,2015,65.593,529491,19036
App110,Windows,2017,49.901,24501530,19015
App92,Mac,2014,73.84,3317166,19007
App21,Android,2011,78.61,22284500,18971
App96,iOS,2011,78.32,3933004,18965
App35,iOS,2011,76.11,4991596,18866
App114,Windows,2014,71.76,2794552,18862
App105,Android,2017,71.1,3859606,18856
App123,iOS,2012,75.44,8251648,18856
App91,iOS,2011,78.03,13329874,18795
App76,Linux,2010,72.737,1759224,18773
App50,iOS,2016,72.34,10502372,18748
App116,iOS,2014,71.063,1945870,18679
App115,iOS,2018,70.33,5447502,18678
App97,Mac,2015,57.367,1915208,18617
App119,iOS,2015,74.39,39549438,18603
App44,iOS,2013,74.83,4826933,18533
App8,Windows,2014,69.052,454612,18524
App92,Mac,2015,72.22,3437674,18363
App6,Mac,2012,77.56,14074100,18334
App45,iOS,2012,77.46,53165019,18293
App8,Windows,2011,73.925,230800,18269
App134,iOS,2013,74.04,56339704,18232
App97,Mac,2014,62.728,1593882,18115
App64,Windows,2015,73.06,4936550,18052
App48,iOS,2011,77.34,78717088,18016
App57,iOS,2018,67.96,9956108,18009
App130,Android,2018,69.819,1056608,18009
App116,iOS,2013,72.25,1861252,17867
App123,iOS,2011,74.72,8122293,17832
App104,iOS,2016,69.26,10156415,17641
App92,Mac,2013,74.32,3210650,17632
App34,iOS,2017,70.29,10256295,17596
App63,iOS,2015,72.03,3557761,17559
App50,iOS,2015,73.68,10325429,17541
App134,iOS,2012,72.76,56179000,17429
App76,Linux,2013,66.234,3344074,17364
App116,iOS,2016,69.82,2011612,17161
App64,Windows,2014,74.45,4203148,17122
App105,Android,2016,72.16,3759430,16999
App110,Windows,2010,71.626,5618198,16903
App6,Mac,2011,78.83,13177000,16789
App10,iOS,2011,77.53,9709100,16672
App7,iOS,2011,77.51,7544201,16662
App67,Windows,2012,79.36,113872473,16610
App65,iOS,2013,76.42,56535636,16537
App96,iOS,2010,79.05,3786019,16362
App34,iOS,2014,70.96,10311597,16310
App92,Mac,2012,76.33,3164900,16234
App104,iOS,2015,70.41,9927680,16207
App135,Android,2009,70.21,186538000,16173
App50,iOS,2014,75.24,9974490,16121
App45,iOS,2011,78.64,51732000,16107
App21,Android,2010,79.77,20819767,16077
App34,iOS,2016,70.38,10300707,16049
App92,Mac,2011,77.55,2929100,16046
App71,Windows,2016,62.612,46173816,15994
App35,iOS,2010,77.18,4838800,15937
App134,iOS,2011,72.01,56079000,15895
App112,iOS,2014,70.3,9230783,15871
App58,iOS,2011,78.95,209275,15798
App119,iOS,2014,76.3,38880702,15765
App44,iOS,2012,75.7,4738902,15605
App103,iOS,2018,67.64,38518241,15390
App34,iOS,2013,71.58,10303704,15377
App64,Windows,2013,75.6,3858421,15367
App91,iOS,2010,78.53,12596822,15363
App116,iOS,2012,73.64,1746919,15277
App50,iOS,2013,76.67,9786480,15268
App123,iOS,2010,74.16,7867931,15258
App126,Windows,2015,74.26,20686918,15216
App112,iOS,2013,71.218,9032824,15181
App114,Windows,2013,73.56,2651869,15169
App46,Linux,2013,56.735,753874,15113
App57,iOS,2017,69.17,10083313,14844
App8,Windows,2010,74.795,202182,14805
App34,iOS,2012,72.4,10161915,14800
App67,Windows,2011,80.69,107188273,14779
App48,iOS,2010,78.67,76368453,14746
App46,Linux,2016,48.69,1126189,14723
App62,Windows,2012,59.545,11882916,14688
App105,Android,2015,73.44,3585176,14642
App32,iOS,2018,67.13,4493312,14619
App56,Windows,2013,76.2,5264500,14561
App6,Mac,2010,80.37,11872264,14526
App62,Windows,2013,59.461,14173318,14518
App92,Mac,2010,79.11,2728150,14464
App44,iOS,2011,77.13,4639657,14359
App34,iOS,2015,70.71,10315702,14297
App65,iOS,2012,77.44,56059245,14256
App116,iOS,2015,70.97,1999210,14215
App50,iOS,2012,77.03,9308479,14196
App134,iOS,2010,71.36,54959000,14143
App119,iOS,2013,76.9,37983310,13926
App63,iOS,2014,73.1,3539900,13873
App32,iOS,2014,70.64,4484310,13823
App115,iOS,2017,70.35,5410052,13639
App35,iOS,2009,78.332,4646899,13583
App46,Linux,2015,52.79,985739,13522
App21,Android,2009,80.653,18985849,13462
App96,iOS,2009,80.196,3638919,13450
App58,iOS,2010,80.5,198676,13320
App64,Windows,2012,76.93,3495918,13307
App119,iOS,2012,77.57,36439000,13237
App32,iOS,2013,71.52,4413368,13222
App46,Linux,2018,40.489,1454867,13206
App92,Mac,2009,80.204,2488550,13176
App24,Android,2018,57.924,16284741,13172
App10,iOS,2010,78.32,9556500,13149
App137,Android,2012,67.456,13503563,13144
App34,iOS,2011,74.01,9862158,13108
App104,iOS,2014,72.77,9915289,13039
App45,iOS,2010,79.59,49569000,13000
App57,iOS,2014,69.58,10612740,12986
App112,iOS,2012,71.659,8686367,12981
App97,Mac,2013,67.734,1301048,12955
App48,iOS,2009,79.406,73739117,12902
App7,iOS,2010,78.98,7376998,12835
App91,iOS,2009,79.762,11805689,12791
App64,Windows,2011,78.269,3095893,12787
App5,Android,2018,65.142,40301927,12779
App8,Windows,2009,75.635,171863,12753
App50,iOS,2011,77.869,8888628,12725
App63,iOS,2013,74.36,3480000,12618
App14,Linux,2018,46.634,1639131,12570
App57,iOS,2013,69.76,10705535,12546
App46,Linux,2017,44.598,1299304,12522
App134,iOS,2009,70.76,53292000,12477
App79,Mac,2018,55.737,24821286,12452
App116,iOS,2011,75.13,1694510,12383
App123,iOS,2009,73.37,7561588,12329
App105,Android,2014,73.75,3444468,12281
