Inc_Cnt,Month,Day
54,8,1
59,8,2
61,8,3
49,8,4
43,8,5
53,8,6
52,8,7
46,8,8
48,8,9
56,8,10
61,8,11
56,8,12
53,8,13
55,8,14
45,8,15
51,8,16
53,8,17
44,8,18
55,8,19
49,8,20
46,8,21
60,8,22
48,8,23
48,8,24
44,8,25
45,8,26
44,8,27
54,8,28
68,8,29
66,8,30
63,8,31
65,9,1
61,9,2
54,9,3
71,9,4
72,9,5
66,9,6
69,9,7
74,9,8
77,9,9
74,9,10
80,9,11
79,9,12
69,9,13
67,9,14
66,9,15
64,9,16
59,9,17
52,9,18
60,9,19
63,9,20
64,9,21
63,9,22
63,9,23
63,9,24
62,9,25
65,9,26
60,9,27
67,9,28
64,9,29
70,9,30
71,10,1
72,10,2
68,10,3
71,10,4
70,10,5
70,10,6
75,10,7
79,10,8
79,10,9
76,10,10
69,10,11
60,10,12
68,10,13
78,10,14
67,10,15
68,10,16
69,10,17
71,10,18
74,10,19
72,10,20
61,10,21
68,10,22
69,10,23
73,10,24
72,10,25
69,10,26
73,10,27
75,10,28
73,10,29
70,10,30
68,10,31
68,11,1
68,11,2
69,11,3
73,11,4
72,11,5
74,11,6
76,11,7
77,11,8
77,11,9
79,11,10
73,11,11
73,11,12
69,11,13
67,11,14
66,11,15
64,11,16
66,11,17
63,11,18
65,11,19
65,11,20
64,11,21
59,11,22
62,11,23
66,11,24
68,11,25
73,11,26
75,11,27
84,11,28
81,11,29
83,11,30
81,12,1
78,12,2
79,12,3
80,12,4
80,12,5
74,12,6
71,12,7
67,12,8
65,12,9
62,12,10
60,12,11
68,12,12
63,12,13
64,12,14
58,12,15
58,12,16
65,12,17
54,12,18
63,12,19
55,12,20
69,12,21
51,12,22
58,12,23
68,12,24
56,12,25
50,12,26
57,12,27
64,12,28
62,12,29
63,12,30
55,12,31
